Export;EXP-2023-001 (20231211 15:27);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NO2;uur;µg/m³;20231101 11:00;20231101 12:00;3.07;4.25;1.85;5.13;3.26;4.3;9.96;8.56;8.87;16.04;5.55;4.48;3.37;4.5;6.41;2.63;15.61;14.61;7.19;5.78;12.04;18.17;13.15;22.02;23.88;11.66;16.24;5.55;;13.08;15.63;13.52;;3.95;4.47;5.14;10.98;8.03;4.33;3.5;6.58;4.95;5.36;16.2;8.12
NO2;uur;µg/m³;20231101 12:00;20231101 13:00;3.48;4.65;2.35;6.65;3.5;4.03;6.97;8.51;7.99;15.1;4.64;3.63;3.4;4.11;5.52;2.68;13.81;14.03;6.55;5.29;10.82;12.99;11.17;15.23;21.7;10.78;11.99;4.84;;14.01;13.9;11.47;;4.41;3.3;4.06;8.2;7.6;4.72;4.39;5.43;4.17;4.26;13.64;6.86
NO2;uur;µg/m³;20231101 13:00;20231101 14:00;2.75;4.87;2.38;9.77;3.25;4.14;5.39;7.88;7.98;15.35;5.48;3.93;3.48;3.16;4.51;2.67;10.38;11.63;6.84;5.21;9.06;11.66;8.71;14.87;17.69;10.85;12.42;5.61;;13.76;14.66;8.71;8.32;3.11;3.39;3.53;7.65;6.74;4.28;3.73;4.85;4.41;4.08;13.53;7.19
NO2;uur;µg/m³;20231101 14:00;20231101 15:00;3.03;5.14;2.88;10.9;4.16;3.58;6.07;8.06;9.56;17.38;7.55;5.09;4.11;3.79;6.8;4.54;10.26;11.96;7.45;6.76;8.39;12.85;9.29;17.85;20.27;8.93;13.74;4.89;;12.68;14.39;8.37;6;4.6;4.56;4.56;9.91;9.62;3.46;3.79;4.06;4.21;4.59;14.07;7.2
NO2;uur;µg/m³;20231101 15:00;20231101 16:00;4.62;5.72;2.63;7.85;4.08;3.77;9.57;7.03;10.13;19.87;8.29;5.32;4.73;4.79;5.84;3.82;12.26;13.01;6.54;7.31;8.36;14.25;10.35;16.9;19.65;10.29;14.66;4.92;;14.95;17.67;10.73;6.81;5.43;7.16;6.08;9.58;8.4;3.71;4.41;4.66;4.76;4.1;14.73;8.02
NO2;uur;µg/m³;20231101 16:00;20231101 17:00;4.25;4.79;3.43;8.84;4.29;4;8.03;7.13;11.61;19.03;8.11;6.35;4.7;6.6;7.83;3.48;10.72;12.5;7.91;7.4;11.59;13.3;11.44;20.09;17.63;15.15;15.02;6.29;6.07;11.83;13.95;19.29;7.83;6.15;14.62;5.04;10.33;8.29;6.52;5.53;4.88;6.27;4.72;17.52;8.22
NO2;uur;µg/m³;20231101 17:00;20231101 18:00;4.65;4.52;3.21;7.34;4.23;3.88;10.67;5.94;12.91;14.83;8.03;7.9;4.85;5.58;7.71;2.84;14.07;12.51;6.59;7.47;9.97;17.12;13.19;15.48;20.94;14.89;12.56;4.76;7.11;13.12;16.59;18.3;9.65;5.9;11.56;4.84;7.65;5.05;7.91;4.44;5.23;7.17;4.36;16.97;8.34
NO2;uur;µg/m³;20231101 18:00;20231101 19:00;3.97;4.12;2.74;6.26;;;13;7.17;12.59;16.19;7.48;8.27;5.87;6.01;4.21;2.85;13.15;12.4;5.82;7.34;9.75;16.88;13.39;18.34;20.36;19.12;12.05;4.66;8.56;12.93;16.21;20.29;9.57;6.74;11.33;4.56;9.31;5.95;6.47;4.26;4.42;5.32;3.56;12.35;7.99
NO2;uur;µg/m³;20231101 19:00;20231101 20:00;3.45;3.78;2.2;4.73;3.53;;13.84;7.16;8.36;13.31;8.22;10.09;5.86;7.37;3.92;4.02;12.07;12.45;7.77;7.98;9.18;13.56;12.26;16.82;16.16;10.92;11.87;4.23;8.76;11.34;15.21;17.78;8.93;5.64;5.42;5.05;8.09;5.79;5.11;2.94;5.28;5.92;4;12.24;6.97
NO2;uur;µg/m³;20231101 20:00;20231101 21:00;2.63;3.85;1.72;3.88;3.44;;13.53;5.39;8.19;14.29;8.35;10.75;4.75;6.47;6.46;3.07;11.92;11.92;5.95;8.61;8.32;13.78;9.54;17.92;16.09;9.83;11.34;4.22;9.62;10.96;13.73;16.21;8.95;6.75;4.42;4.71;7.54;6.16;3.54;2.52;4.5;4.18;4.04;8.59;5.28
NO2;uur;µg/m³;20231101 21:00;20231101 22:00;2.55;4.06;2.01;3.6;3.63;;12.8;5.57;6.24;16.13;8.06;8.1;4.11;6.06;6.76;4.68;11.89;9.76;5.06;8.52;8.49;14.28;15.4;16.69;15.93;11.12;10.18;4.49;10.47;13.33;13.86;16.51;9.93;6.3;4.7;5.22;7.86;6.11;3.89;2.9;5.35;3.01;3.08;6.7;4.12
NO2;uur;µg/m³;20231101 22:00;20231101 23:00;2.41;3.76;1.54;3.57;3.58;;11.92;4.98;4.85;15.01;7.16;7.1;2.98;4.86;7.31;5.65;14.4;13.09;9.04;6.57;10.22;16.78;11.61;16.82;20.01;11.25;11.2;4.24;8.4;12.92;16.18;18.21;10.6;7.51;3.61;4.73;6.76;6.09;3.89;2.89;5.82;2.89;3.29;7.01;3.48
NO2;uur;µg/m³;20231101 23:00;20231102 00:00;2.08;3.51;1.64;4.16;2.49;;7.42;5.64;4.14;11.2;4.7;5.88;3.56;4.29;5.8;23.53;13.5;11.81;6.71;5.78;10.58;14.17;12.27;19.99;16.11;10.97;9.02;4.23;6.23;9.57;12.48;10.67;7.55;7.5;2.73;3.87;5.65;5.07;4.18;3.05;5.35;2.9;3.24;4.66;3.36
NO2;uur;µg/m³;20231102 00:00;20231102 01:00;2.68;4.97;;6.57;2.68;;3.19;5.35;3.88;6.26;3.09;2.6;3.69;3.94;6.46;15.53;12.66;10.59;2.8;3.58;8.87;11.62;14.32;12.49;12.47;10.51;7.19;3.9;3.88;6.57;5.86;6.62;5.4;4.65;5.6;4.98;4.52;3.94;3.91;4.39;3.81;2.97;3.27;4.32;4.43
NO2;uur;µg/m³;20231102 01:00;20231102 02:00;5;4.28;1.29;3.85;2.11;;2.34;3.76;2.83;3.8;2.45;2;3.32;3.32;5.52;23.13;6.75;7.4;2.37;2.06;4.36;5.87;9.22;5.43;7.22;6.28;4.37;2.93;2.71;3.64;3.99;4.93;3.52;2.96;10.95;4.22;4.92;4.45;3.47;3.85;3.12;2.51;2.97;3.89;2.9
NO2;uur;µg/m³;20231102 02:00;20231102 03:00;2.09;5.67;1.16;3.51;1.76;;1.97;4.24;3.38;2.99;1.98;1.84;3.51;3.57;1.96;3.08;6.02;4.2;3.32;1.6;3.18;6.9;4.85;5.14;9.57;5.94;2.79;3;1.7;2.32;3.51;5.14;3;2.56;7;3.78;3.5;3.22;8.12;3.36;2.13;5.27;2.97;4.22;2.75
NO2;uur;µg/m³;20231102 03:00;20231102 04:00;1.61;3.28;1.18;2.38;1.68;;1.44;3.15;2.6;3.56;1.91;1.66;2.74;3.32;3.27;2.07;3.2;3.8;7.87;1.81;2.58;2.54;2.61;20.1;4.32;3.31;2.82;2.61;2.25;2.11;3.1;4.16;3;3.63;3.66;3.42;3.35;3.02;7.49;4.53;2.47;4.94;2.95;4.66;3.35
NO2;uur;µg/m³;20231102 04:00;20231102 05:00;2.1;2.84;1.54;2.13;1.56;;1.15;2.6;1.75;3.32;1.61;1.56;2.13;2.7;2.77;7.68;6.32;4.66;7.32;1.49;2.48;1.97;2.4;16.1;5.92;3.35;2.65;2.52;2.38;1.86;3.1;3.05;2.95;3.07;4.24;3.27;3.08;2.61;4.06;6.41;3.11;3.86;4.49;7.2;4.69
NO2;uur;µg/m³;20231102 05:00;20231102 06:00;2.54;2.62;1.46;2.11;1.66;;1.25;3.59;2.8;7.32;1.81;1.5;2.29;2.92;1.89;15.72;10.89;5.27;4.34;1.6;2.29;3.21;2.68;12.93;13.9;3.17;4.01;3.17;2.55;2.5;3.78;2.57;2.9;2.92;4.14;3.96;4.36;3.38;3.99;3.55;5.01;3.1;3.88;7.17;3.53
NO2;uur;µg/m³;20231102 06:00;20231102 07:00;3.16;3.26;2.18;3.03;2.04;;1.87;6.07;5.73;13.7;3.55;2.9;4.03;3.44;3.6;6.05;13.43;5.93;4.93;2.97;3.49;7.19;3.1;8.18;19.78;4.28;5.78;4.29;3.79;5.6;6.49;3.08;4.42;4.67;3.96;6.2;7.17;5.16;3.93;3.43;2.9;2.26;3.58;11.14;3.74
NO2;uur;µg/m³;20231102 07:00;20231102 08:00;2.57;4.91;3.04;4.22;2.92;;2.98;11.96;9.64;18.55;5.07;3.95;5.89;4.31;2.99;7.42;16.81;9.28;8.95;4;5.01;8.44;5.45;25.03;23.5;4.82;10.53;4.71;4.24;13.14;10.79;5.05;7.1;5.76;5.01;6.24;7.33;5.48;4.3;4.94;3.1;3.69;4.64;14.24;4.24
NO2;uur;µg/m³;20231102 08:00;20231102 09:00;2.62;5.89;2.57;5.49;3.66;;6.19;12.03;12.9;14.38;5.28;2.85;5.44;4.87;1.37;3.31;17.71;10.91;4.21;4.34;5.33;12.2;7.65;16.53;22.14;5.35;11.09;4.43;5.09;12.04;10.81;5.79;7.62;5.23;6.36;5.33;12.81;5.78;5.46;6.63;3.89;4.48;4.51;16.78;5.32
NO2;uur;µg/m³;20231102 09:00;20231102 10:00;1.96;3.48;1.86;4.05;2.88;;5.73;5.16;9.62;11.76;4.49;2.74;3.38;3.31;2;2.87;13.46;7.03;3.66;3.48;5.48;11.78;11.39;16.13;17.18;6.51;9.13;4.55;3.46;11;9.11;8.43;7.82;3.48;4.74;6.38;8.99;6.97;6.17;5.86;3.81;4.54;3.94;14.88;4.43
NO2;uur;µg/m³;20231102 10:00;20231102 11:00;1.96;2.63;1.65;4.01;2.44;;6.14;4.03;6.88;12.78;4.1;2.58;2.59;2.31;3.28;2.61;11.34;6.92;3.79;2.77;5.55;9.66;8.97;15.21;13.51;5.98;7.44;4.27;2.75;9.98;7.95;5.01;7.94;3.4;5.78;7.85;7.25;6.38;4.77;6.88;3.95;4.19;4.1;15.36;4.67
